Name,ons_code,PerPerson
Dorset,E06000059,9.095448445
Na h-Eileanan Siar,S12000013,156.4071856
Richmond,E09000027,122.9235578
Watford,E07000103,52.15216874
Scarborough,E07000168,46.89077485
Dover,E07000108,41.08066469
Brighton and Hove,E06000043,39.26293896
Hounslow,E09000018,38.47187899
Wyre,E07000128,37.61408142
Lincoln,E07000138,34.63277576
Guildford,E07000209,34.49710734
Carmarthenshire,W06000010,33.94165417
Kensington and Chelsea,E09000020,33.29170109
West Dunbartonshire,S12000039,31.8823794
Hackney,E09000012,31.42643711
Argyll and Bute,S12000035,30.18399907
Chorley,E07000118,29.41902957
Kettering,E07000153,29.37431222
Lambeth,E09000022,28.768472
Ryedale,E07000167,28.61863489
East Ayrshire,S12000008,27.8149332
Sandwell,E08000028,26.79981732
Camden,E09000007,26.58825534
Wyre Forest,E07000239,25.94208765
Ashford,E07000105,24.66469792
Havant,E07000090,24.30549834
the Scottish Borders,S12000026,24.29313479
the Cotswolds,E07000079,23.98010282
East Renfrewshire,S12000011,23.8553334
Crawley,E07000226,23.65468957
Merton,E09000024,23.48025641
Cannock Chase,E07000192,23.21113118
Malvern Hills,E07000235,23.06284785
Northumberland,E06000057,23.05122909
Dacorum,E07000096,22.95703753
Harlow,E07000073,22.21966991
Ipswich,E07000202,22.2119156
Stafford,E07000197,21.63097319
Central Bedfordshire,E06000056,21.48291344
Tunbridge Wells,E07000116,21.11535999
Fylde,E07000119,20.3280515
Preston,E07000123,19.91546442
Teignbridge,E07000045,19.72600493
Stoke,E06000021,19.49995124
Runnymede,E07000212,19.41872428
Dudley,E08000027,19.2797796
"Newry, Mourne and Down",N09000010,19.04084513
Great Yarmouth,E07000145,18.81090441
Hyndburn,E07000120,18.40627815
South Ayrshire,S12000028,17.71068289
Greenwich,E09000011,17.47400518
South Tyneside,E08000023,17.41878842
Nottingham,E06000018,17.19675578
Bath and North East Somerset,E06000022,15.83437671
Sutton,E09000029,15.80138503
Bromley,E09000006,15.29325743
East Hertfordshire,E07000242,15.19686406
Bexley,E09000004,14.91580308
Barnsley,E08000016,13.45345248
Knowsley,E08000011,13.29957179
"Bournemouth, Christchurch and Poole",E06000058,13.12798642
the Isle of Wight,E06000046,13.09999929
Milton Keynes,E06000042,13.08817362
Trafford,E08000009,12.74931116
Belfast,N09000003,12.67181305
Thanet,E07000114,12.58649117
Hillingdon,E09000017,12.57307655
Hull,E06000010,12.37171739
Wigan,E08000010,12.28465719
Neath Port Talbot,W06000012,11.84593378
Islington,E09000019,11.74221647
Swale,E07000113,11.45906904
Edinburgh,S12000036,11.24797592
Peterborough,E06000031,11.16983669
Derby,E06000015,10.82774327
Chesterfield,E07000034,10.76835081
Burnley,E07000117,10.42847503
Halton,E06000006,10.41186925
Flintshire,W06000005,10.3888533
South Somerset,E07000189,9.939113131
Wychavon,E07000238,9.912464364
West Suffolk,E07000245,9.535033092
Warrington,E06000007,9.522698487
Wrexham,W06000006,9.227182124
Worthing,E07000229,8.309668084
Havering,E09000016,8.239967328
Warwick,E07000222,8.096526681
Cardiff,W06000015,8.028007403
South Hams,E07000044,7.918026757
Stirling,S12000030,7.641439338
the East Riding of Yorkshire,E06000011,7.624284454
King's Lynn and West Norfolk,E07000146,7.40373754
Newcastle,E08000021,7.323492504
Croydon,E09000008,7.269788731
South Lakeland,E07000031,7.221566687
Falkirk,S12000014,7.055130835
Dumfries and Galloway,S12000006,6.977025393
Erewash,E07000036,6.946286328
Bradford,E08000032,6.813381847
Newcastle-under-Lyme,E07000195,6.801554376
Three Rivers,E07000102,6.773249896
Salford,E08000006,6.668752946
Sheffield,E08000019,6.607472305
Rhondda Cynon Taf,W06000016,6.415379004
South Kesteven,E07000141,6.393585351
South Gloucestershire,E06000025,6.151326059
Pembrokeshire,W06000009,6.126309431
Brent,E09000005,6.028425786
Cambridge,E07000008,5.895927819
Stockport,E08000007,5.842418624
Barnet,E09000003,5.71679015
Angus,S12000041,5.567986231
Coventry,E08000026,5.402924734
Harrow,E09000015,5.401337793
Aberdeenshire,S12000034,5.357758126
South Derbyshire,E07000039,5.352364792
Gateshead,E08000037,5.34606914
Plymouth,E06000026,4.921404044
South Northamptonshire,E07000155,4.917980739
Hastings,E07000062,4.880154542
Canterbury,E07000106,4.863537976
County Durham,E06000047,4.820088513
Clackmannanshire,S12000005,4.452852154
North Lanarkshire,S12000050,4.388493424
Manchester,E08000003,4.330949358
Redcar and Cleveland,E06000003,4.218738607
Newham,E09000025,3.993101769
Fife,S12000047,3.711952884
Glasgow,S12000049,3.665813748
Fermanagh and Omagh,N09000006,3.647452661
Shropshire,E06000051,3.624789562
Eden,E07000030,3.577263253
Renfrewshire,S12000038,3.491903964
Bristol,E06000023,3.226314642
Fenland,E07000010,3.215513009
Broxbourne,E07000095,3.153815315
Waverley,E07000216,2.854474068
Birmingham,E08000025,2.212177794
Denbighshire,W06000004,2.128615616
Gravesham,E07000109,1.685072799
Leicester,E06000016,1.626089706
Stockton,E06000004,1.520157286
Wirral,E08000015,1.510133915
Southwark,E09000028,1.468180535
Derbyshire Dales,E07000035,1.106118216
Monmouthshire,W06000021,0.894386299
West Devon,E07000047,0.867445695
Allerdale,E07000026,0.852078027
Liverpool,E08000012,0.842700013
Bedford,E06000055,0.791727258
Broadland,E07000144,0.762331496
Torbay,E06000027,0.756619503
South Bucks,E07000006,0.742475866
Southend,E06000033,0.724641638
Reigate and Banstead,E07000211,0.722026515
Daventry,E07000151,0.698080279
Cornwall,E06000052,0.68682428
Rushcliffe,E07000176,0.668713921
Harrogate,E07000165,0.662807543
Hertsmere,E07000098,0.536604428
Calderdale,E08000033,0.524934383
Hammersmith and Fulham,E09000013,0.486650859
Worcester,E07000237,0.461856118
South Staffordshire,E07000196,0.46159593
Exeter,E07000041,0.45660363
West Lothian,S12000040,0.441835063
Tonbridge and Malling,E07000115,0.441155328
Tower Hamlets,E09000030,0.428028145
Gedling,E07000173,0.423254394
Bassetlaw,E07000171,0.419720924
Braintree,E07000067,0.418730833
East Devon,E07000040,0.405375844
Kingston,E09000021,0.392660571
Somerset West and Taunton,E07000246,0.391322567
Ards and North Down,N09000011,0.388313495
Kirklees,E08000034,0.383594786
Elmbridge,E07000207,0.380130853
West Berkshire,E06000037,0.364783843
Mendip,E07000187,0.352115722
Darlington,E06000005,0.346432216
Norwich,E07000148,0.34359372
Charnwood,E07000130,0.337367031
Northampton,E07000154,0.333466898
Oxford,E07000178,0.326649481
Luton,E06000032,0.277866436
Wandsworth,E09000032,0.277241057
Middlesbrough,E06000002,0.275216343
Newark and Sherwood,E07000175,0.262209915
Bury,E08000002,0.243468244
Leeds,E08000035,0.231989601
Reading,E06000038,0.218815676
South Lanarkshire,S12000029,0.218076311
Barking and Dagenham,E09000002,0.217936554
Pendle,E07000122,0.217126976
North Tyneside,E08000022,0.196716896
Sefton,E08000014,0.177634673
Enfield,E09000010,0.177354896
East Lindsey,E07000137,0.161578246
Ribble Valley,E07000124,0.157666535
Maldon,E07000074,0.154021501
Highland,S12000017,0.153076369
South Ribble,E07000126,0.135393725
Barrow,E07000027,0.128264404
Sunderland,E08000024,0.126753209
Boston,E07000136,0.125404358
Solihull,E08000029,0.124321776
Lancaster,E07000121,0.109560525
South Holland,E07000140,0.105242109
West Lindsey,E07000142,0.104529253
Redbridge,E09000026,0.104186461
Inverclyde,S12000018,0.097686375
Westminster,E09000033,0.096434599
York,E06000014,0.095433439
Amber Valley,E07000032,0.078035381
Stratford-on-Avon,E07000221,0.076096481
Thurrock,E06000034,0.057358854
Stroud,E07000082,0.050848588
Gwynedd,W06000002,0.046563905
Rochdale,E08000005,0.044961603
Wiltshire,E06000054,0.043197926
Wolverhampton,E08000031,0.037211846
Wakefield,E08000036,0.028709892
Wycombe,E07000007,0.028691441
Aylesbury Vale,E07000004,0.023127759
